case,param,runner,iters,median_ms,mean_ms,min_ms,max_ms,stddev_ms,cv_pct,range_pct,p95_ms,throughput_mbps,peak_rss_mb,ratio_to_best,is_best,skipped,notes
cpu.keccak.chunk-hash,chunk_bytes=4096;count=10000,go,5,597.194,602.186,570.778,653.44,31.4066,5.2154,9.4184,,65.41,234.3,1.2015,false,false,count=10000 chunk_bytes=4096
cpu.keccak.chunk-hash,chunk_bytes=4096;count=10000,rs,5,497.041,496.931,494.912,499.056,1.492,0.3002,0.4283,,78.59,117.5,1,true,false,count=10000 chunk_bytes=4096
cpu.keccak.chunk-hash,chunk_bytes=4096;count=10000,js,5,6319.711,6293.604,6208.743,6331.426,51.7281,0.8219,1.7559,,6.18,222,12.7147,false,false,
cpu.keccak.bulk,size_mb=100,go,5,285.002,285.607,284.203,287.217,1.3201,0.4622,0.7772,,350.87,234.3,1.1276,false,false,
cpu.keccak.bulk,size_mb=100,rs,5,252.746,252.825,251.743,253.84,0.8469,0.335,0.4328,,395.65,117.5,1,true,false,
cpu.keccak.bulk,size_mb=100,js,5,2998.477,2983.995,2850.857,3134.411,112.1261,3.7576,4.9232,,33.35,1426.2,11.8636,false,false,
cpu.bmt.file-root,size_mb=1,go,5,19.905,20.27,19.779,20.946,0.5862,2.8921,5.2298,,50.24,234.4,1.4701,false,false,
cpu.bmt.file-root,size_mb=1,rs,5,13.54,14.211,12.827,15.848,1.4589,10.2658,17.0458,,73.86,117.5,1,true,false,
cpu.bmt.file-root,size_mb=1,js,5,177.922,177.791,174.543,181.268,2.4706,1.3896,1.8991,,5.62,1426.5,13.1405,false,false,
cpu.bmt.file-root,size_mb=10,go,5,154.691,162.313,152.136,190.44,16.0666,9.8985,23.1099,,64.65,234.8,1.1955,false,false,
cpu.bmt.file-root,size_mb=10,rs,5,129.399,129.498,128.946,130.046,0.4342,0.3353,0.5,,77.28,117.5,1,true,false,
cpu.bmt.file-root,size_mb=10,js,5,1661.913,1679.608,1653.58,1762.451,46.4721,2.7668,6.0495,,6.02,1426.4,12.8433,false,false,
cpu.bmt.file-root,size_mb=100,go,5,1537.617,1555.141,1536.34,1595.246,26.6036,1.7107,3.7479,,65.04,234.9,1.1876,false,false,
cpu.bmt.file-root,size_mb=100,rs,5,1294.737,1294.68,1293.885,1295.427,0.5905,0.0456,0.0658,,77.24,117.5,1,true,false,
cpu.bmt.file-root,size_mb=100,js,5,17077.992,17125.032,16904.61,17537.551,258.33,1.5085,2.6909,,5.86,1426.4,13.1903,false,false,
cpu.bmt.encrypted-file-root,size_mb=1,go,0,0,0,0,0,,,,,,234.9,,,true,no offline encryption-aware chunker API in bee-go
